tier,model_name,symbol,window,n_passed,win_rate,wilson_ci_lower,wilson_ci_upper,recency_weighted_ev,ev_per_trade,roi_pct,sharpe,raw_p,cross_cell_adj_p,best_confidence_threshold,wf_ev_pos_folds,wf_n_folds,wf_mean_roi_pct,wf_robust,walk_forward_skipped,walk_forward_skip_reason,train_win_rate,test_win_rate,train_test_gap_pct,decay_slope_negative,kelly_multiplier,tier_reason
blocked,h300_btc_v3_179d_20260506,BTCUSDT,1800,48,0.541667,0.402911,0.674248,0.018604,0.018604,1.8604,0.2586,0.281851,0.920036,0.5,4,5,51.2944,True,False,,1.0,1.0,0.0,False,0.0,no significant edge or insufficient data; n_passed=48<50; wilson_ci_lower=0.4029<=0.515; cross_cell_adj_p=0.920036 not<0.05
blocked,h900_btc_v3_89d_20260506,BTCUSDT,1800,48,0.5625,0.42275,0.692987,0.018396,0.018396,1.8396,0.2557,0.193238,0.920036,0.52,4,5,51.2944,True,False,,1.0,1.0,0.0,False,0.0,no significant edge or insufficient data; n_passed=48<50; wilson_ci_lower=0.4228<=0.515; cross_cell_adj_p=0.920036 not<0.05
blocked,h1200_sol_v3_179d_20260506,SOLUSDT,900,95,0.526316,0.426853,0.623733,0.017895,0.017895,1.7895,0.3408,0.303979,0.920036,,3,5,5.4057,False,False,,,,,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4269<=0.515; wf_ev_pos_folds=3/5<2/3; cross_cell_adj_p=0.920036 not<0.05
blocked,h1800_sol_v3_89d_20260506,SOLUSDT,900,95,0.536842,0.437097,0.633724,0.017789,0.017789,1.7789,0.3407,0.236322,0.920036,,3,5,5.4057,False,False,,,,,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4371<=0.515; wf_ev_pos_folds=3/5<2/3; cross_cell_adj_p=0.920036 not<0.05
blocked,h300_eth_v3_89d_20260506,ETHUSDT,300,288,0.541667,0.48395,0.598286,0.017389,0.017389,1.7389,0.5856,0.07865,0.920036,,1,5,-2.1138,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4839<=0.515; wf_ev_pos_folds=1/5<2/3; cross_cell_adj_p=0.920036 not<0.05
blocked,h600_btc_v3_89d_20260506,BTCUSDT,300,288,0.53125,0.473585,0.588093,0.017146,0.017146,1.7146,0.5964,0.144422,0.920036,0.5,2,5,-0.6218,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4736<=0.515; wf_ev_pos_folds=2/5<2/3; cross_cell_adj_p=0.920036 not<0.05
blocked,h180_btc_v3_89d_20260506,BTCUSDT,300,288,0.520833,0.463244,0.577875,0.016729,0.016729,1.6729,0.5819,0.23975,0.920036,0.56,2,5,-0.6218,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4632<=0.515; wf_ev_pos_folds=2/5<2/3; cross_cell_adj_p=0.920036 not<0.05
blocked,h60_btc_v3_89d_20260506,BTCUSDT,1800,48,0.520833,0.383292,0.655287,0.014854,0.014854,1.4854,0.2064,0.386415,0.920036,0.5,4,5,51.2944,True,False,,1.0,1.0,0.0,False,0.0,no significant edge or insufficient data; n_passed=48<50; wilson_ci_lower=0.3833<=0.515; cross_cell_adj_p=0.920036 not<0.05
blocked,h60_sol_v3_179d_20260506,SOLUSDT,1800,47,0.510638,0.372425,0.647244,0.014511,0.014511,1.4511,0.1988,0.442014,0.934579,0.52,,,,,True,error: timed out,,,,False,0.0,no significant edge or insufficient data; n_passed=47<50; wilson_ci_lower=0.3724<=0.515; walk_forward_skipped:insufficient_data
blocked,h1200_btc_v3_329d_20260506,BTCUSDT,300,288,0.524306,0.466688,0.581283,0.013882,0.013882,1.3882,0.4827,0.204698,0.920036,0.5,2,5,-0.6218,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4667<=0.515; wf_ev_pos_folds=2/5<2/3; cross_cell_adj_p=0.920036 not<0.05
